╔════════════════════════════════════════════════════════════╗
║    LEARNING ATTACK - Pattern recognition                  ║
╚════════════════════════════════════════════════════════════╝

[Round 1] Token: 253ms1GXBuAw... | DB size: 1
[Round 81] Token: dJbqDbl0TCR1... | DB size: 81
[Round 82] Token: zh8GIAelMc0W... | DB size: 82
[Round 83] Token: s0yEW4Op6SnX... | DB size: 83
[Round 84] Token: Dr5GPL7jgfkS... | DB size: 84
[Round 85] Token: z9ted8c0esce... | DB size: 85
[Round 86] Token: C20BE14xU65U... | DB size: 86
[Round 87] Token: u8JCPXaslFFc... | DB size: 87
[Round 88] Token: OizsU9c4xPez... | DB size: 88
[Round 89] Token: wiNprzBHivDa... | DB size: 89
[Round 90] Token: rUQScfGt3hxw... | DB size: 90
[Round 91] Token: F5jSWbvqKTuP... | DB size: 91
[Round 92] Token: 2LtVC8T4XJly... | DB size: 92
[Round 93] Token: 2LtVC8T4XJly... | DB size: 93
[Round 94] Token: 6CcHyVuUDK8F... | DB size: 94
[Round 95] Token: DCsexD2yV4PI... | DB size: 95
[Round 96] Token: C1rgcTdqteTQ... | DB size: 96
[Round 97] Token: LI5vz4KpmCSU... | DB size: 97
[Round 98] Token: Hvhrar6pF4DF... | DB size: 98
